"id";"r1";"r2";"r3";"dist1"
"129586";"6009684";"-10.0003";"2.02043";"0.020432203"
"259664";"3129769";"-9.98081";"2.01113";"0.022184071"
"14601";"1841616";"-9.97701";"1.99226";"0.024257941"
"323737";"3970354";"-9.97827";"2.01281";"0.02522477"
"55035";"2240158";"-10.0217";"1.97796";"0.030929785"
"100992";"5667608";"-9.9672";"1.98487";"0.036121419"
"281548";"4057236";"-10.0069";"1.95983";"0.040758299"
"313669";"5797207";"-9.98323";"1.95967";"0.043677704"
"96357";"1539728";"-9.94738";"1.98415";"0.054955317"
"304522";"2071575";"-10.0488";"1.97202";"0.056252292"
"165504";"2365570";"-10.0082";"2.05791";"0.058487675"
"211215";"5242545";"-9.98452";"2.05657";"0.058649768"
"140241";"1360936";"-9.94523";"2.02388";"0.059749538"
"189981";"3978523";"-10.0497";"2.0364";"0.061603977"
"239516";"3093695";"-9.97847";"1.94091";"0.062890134"
"227734";"2231588";"-10.0375";"2.0525";"0.06451744"
"56904";"5765222";"-9.98497";"2.06619";"0.06787501"
"274827";"4706510";"-9.99834";"1.93154";"0.068480123"
"176862";"5902592";"-9.94163";"1.96288";"0.069173342"
"55096";"3465808";"-9.98988";"2.06916";"0.069896495"
"280531";"2144518";"-10.0673";"2.02083";"0.070449833"
"99987";"4251786";"-10.0646";"1.96329";"0.074301979"
"355122";"3174976";"-9.92454";"2.00075";"0.075463727"
"74640";"2603832";"-10.0177";"1.92641";"0.075688692"
"344502";"3681653";"-10.0499";"2.05795";"0.076473607"
"83786";"3165423";"-9.93269";"1.96291";"0.076852483"
"87438";"2609809";"-9.93451";"1.94914";"0.082919718"
"193948";"4092080";"-10.0756";"1.96312";"0.084115958"
"103809";"5767936";"-10.0661";"1.94742";"0.084462219"
"70327";"5693933";"-10.0855";"2.00108";"0.085506821"
"116833";"1930798";"-10.0025";"1.91415";"0.085886393"
"323664";"3111265";"-9.91588";"2.02661";"0.08822849"
"224351";"1610832";"-9.92723";"1.94949";"0.088581787"
"322708";"1876666";"-10.0722";"1.945";"0.090762547"
"64464";"3721556";"-10.062";"2.06824";"0.092199228"
"239913";"4650521";"-10.0687";"2.06184";"0.092433087"
"151008";"3930946";"-10.0248";"1.91093";"0.092458125"
"211273";"4638923";"-9.96979";"1.91257";"0.092502157"
"119260";"4765442";"-10.0942";"2.01784";"0.095874426"
"282291";"2288103";"-9.92827";"1.93527";"0.096618662"
"284021";"2717364";"-10.0338";"1.90945";"0.09665269"
"329932";"2524367";"-10.0233";"2.09455";"0.097378604"
"169694";"4128303";"-10.0761";"1.93905";"0.097499295"
"259707";"3947745";"-10.0784";"1.94075";"0.098270659"
"93287";"2804787";"-10.0695";"2.07034";"0.098883596"
"288271";"5788021";"-10.0136";"2.09873";"0.099662294"
"241506";"5407685";"-10.0465";"2.08851";"0.099981349"
"73572";"3207266";"-10.0913";"1.9561";"0.101305972"
"34298";"1754938";"-10.0871";"1.94787";"0.101508359"
"193802";"3524677";"-9.90528";"2.03738";"0.101828988"
"110812";"3285747";"-10.0695";"1.92461";"0.102537321"
"29926";"4042712";"-9.96221";"1.90456";"0.102649295"
"180325";"2876815";"-9.89295";"2.00257";"0.107080845"
"124680";"2748627";"-9.93249";"2.08339";"0.107291622"
"55222";"5947991";"-10.0679";"1.91022";"0.112564907"
"138216";"4870609";"-9.93007";"1.91119";"0.113037255"
